Mins,Hrs,Time,SpCond,Depth_m,Turbidity_FNU
0,0,3/9/2021 7:00,1700,0.48,1.95
10,0.166666667,3/9/2021 7:10,1700,0.48,2
20,0.333333333,3/9/2021 7:20,1700,0.48,2.79
30,0.5,3/9/2021 7:30,1700,0.48,1.79
40,0.666666667,3/9/2021 7:40,1700,0.48,2.11
50,0.833333333,3/9/2021 7:50,1700,0.49,2.02
60,1,3/9/2021 8:00,1700,0.48,2.41
70,1.166666667,3/9/2021 8:10,1701,0.48,2.15
80,1.333333333,3/9/2021 8:20,1700,0.48,1.88
90,1.5,3/9/2021 8:30,1701,0.49,2.4
100,1.666666667,3/9/2021 8:40,1701,0.49,2.25
110,1.833333333,3/9/2021 8:50,1701,0.49,2.27
120,2,3/9/2021 9:00,1701,0.49,1.91
130,2.166666667,3/9/2021 9:10,1701,0.49,1.83
140,2.333333333,3/9/2021 9:20,1701,0.49,3.81
150,2.5,3/9/2021 9:30,1702,0.49,1.97
160,2.666666667,3/9/2021 9:40,1702,0.5,2.63
170,2.833333333,3/9/2021 9:50,1702,0.49,1.76
180,3,3/9/2021 10:00,1703,0.49,1.89
190,3.166666667,3/9/2021 10:10,1703,0.49,2.71
200,3.333333333,3/9/2021 10:20,1703,0.49,1.94
210,3.5,3/9/2021 10:30,1703,0.49,1.73
220,3.666666667,3/9/2021 10:40,1703,0.49,2.16
230,3.833333333,3/9/2021 10:50,1703,0.49,2.15
240,4,3/9/2021 11:00,1703,0.49,1.77
250,4.166666667,3/9/2021 11:10,1704,0.49,2.63
260,4.333333333,3/9/2021 11:20,1704,0.49,2.17
270,4.5,3/9/2021 11:30,1704,0.49,2.15
280,4.666666667,3/9/2021 11:40,1705,0.49,2.16
290,4.833333333,3/9/2021 11:50,1705,0.49,1.9
300,5,3/9/2021 12:00,1705,0.49,1.87
310,5.166666667,3/9/2021 12:10,1705,0.49,1.96
320,5.333333333,3/9/2021 12:20,1706,0.49,1.89
330,5.5,3/9/2021 12:30,1706,0.49,1.69
340,5.666666667,3/9/2021 12:40,1706,0.49,2.06
350,5.833333333,3/9/2021 12:50,1706,0.49,1.87
360,6,3/9/2021 13:00,1706,0.49,1.9
370,6.166666667,3/9/2021 13:10,1707,0.49,1.76
380,6.333333333,3/9/2021 13:20,1708,0.48,1.85
390,6.5,3/9/2021 13:30,1708,0.48,2.26
400,6.666666667,3/9/2021 13:40,1709,0.49,1.82
410,6.833333333,3/9/2021 13:50,1709,0.49,1.75
420,7,3/9/2021 14:00,1709,0.49,2.03
430,7.166666667,3/9/2021 14:10,1710,0.48,1.73
440,7.333333333,3/9/2021 14:20,1710,0.48,2.13
450,7.5,3/9/2021 14:30,1710,0.48,1.77
460,7.666666667,3/9/2021 14:40,1710,0.48,2.04
470,7.833333333,3/9/2021 14:50,1711,0.48,1.67
480,8,3/9/2021 15:00,1712,0.49,1.99
490,8.166666667,3/9/2021 15:10,1712,0.48,2.4
500,8.333333333,3/9/2021 15:20,1712,0.48,2.13
510,8.5,3/9/2021 15:30,1713,0.48,2.1
520,8.666666667,3/9/2021 15:40,1714,0.48,1.87
530,8.833333333,3/9/2021 15:50,1713,0.48,1.82
540,9,3/9/2021 16:00,1715,0.48,2.12
550,9.166666667,3/9/2021 16:10,1715,0.48,2.39
560,9.333333333,3/9/2021 16:20,1716,0.48,1.83
570,9.5,3/9/2021 16:30,1717,0.48,2.51
580,9.666666667,3/9/2021 16:40,1717,0.48,1.85
590,9.833333333,3/9/2021 16:50,1718,0.48,1.91
600,10,3/9/2021 17:00,1719,0.48,2.32
610,10.16666667,3/9/2021 17:10,1720,0.48,2.04
620,10.33333333,3/9/2021 17:20,1721,0.48,1.95
630,10.5,3/9/2021 17:30,1722,0.48,1.74
640,10.66666667,3/9/2021 17:40,1722,0.48,1.93
650,10.83333333,3/9/2021 17:50,1723,0.48,2.04
660,11,3/9/2021 18:00,1724,0.48,1.94
670,11.16666667,3/9/2021 18:10,1725,0.48,1.8
680,11.33333333,3/9/2021 18:20,1726,0.49,1.82
690,11.5,3/9/2021 18:30,1727,0.49,1.82
700,11.66666667,3/9/2021 18:40,1728,0.48,1.94
710,11.83333333,3/9/2021 18:50,1729,0.48,2.28
720,12,3/9/2021 19:00,1730,0.48,1.97
730,12.16666667,3/9/2021 19:10,1731,0.48,1.97
740,12.33333333,3/9/2021 19:20,1732,0.48,1.74
750,12.5,3/9/2021 19:30,1733,0.48,1.82
760,12.66666667,3/9/2021 19:40,1734,0.48,1.82
770,12.83333333,3/9/2021 19:50,1735,0.48,1.93
780,13,3/9/2021 20:00,1736,0.49,1.86
790,13.16666667,3/9/2021 20:10,1737,0.49,1.66
800,13.33333333,3/9/2021 20:20,1738,0.48,1.69
810,13.5,3/9/2021 20:30,1739,0.48,1.61
820,13.66666667,3/9/2021 20:40,1740,0.49,1.78
830,13.83333333,3/9/2021 20:50,1741,0.49,1.59
840,14,3/9/2021 21:00,1742,0.49,1.68
850,14.16666667,3/9/2021 21:10,1743,0.48,2.06
860,14.33333333,3/9/2021 21:20,1744,0.49,2.07
870,14.5,3/9/2021 21:30,1745,0.49,1.93
880,14.66666667,3/9/2021 21:40,1745,0.48,2.29
890,14.83333333,3/9/2021 21:50,1746,0.48,1.68
900,15,3/9/2021 22:00,1747,0.48,1.86
910,15.16666667,3/9/2021 22:10,1748,0.48,1.73
920,15.33333333,3/9/2021 22:20,1748,0.48,1.73
930,15.5,3/9/2021 22:30,1748,0.48,1.59
940,15.66666667,3/9/2021 22:40,1749,0.48,1.81
950,15.83333333,3/9/2021 22:50,1749,0.48,1.94
960,16,3/9/2021 23:00,1749,0.48,1.86
970,16.16666667,3/9/2021 23:10,1749,0.48,1.39
980,16.33333333,3/9/2021 23:20,1748,0.48,1.46
990,16.5,3/9/2021 23:30,1748,0.48,1.55
1000,16.66666667,3/9/2021 23:40,1747,0.48,1.67
1010,16.83333333,3/9/2021 23:50,1747,0.48,1.47
1020,17,3/10/2021 0:00,1747,0.48,1.61
1030,17.16666667,3/10/2021 0:10,1746,0.48,1.5
1040,17.33333333,3/10/2021 0:20,1745,0.48,1.73
1050,17.5,3/10/2021 0:30,1744,0.48,1.6
1060,17.66666667,3/10/2021 0:40,1744,0.48,1.74
1070,17.83333333,3/10/2021 0:50,1743,0.47,1.88
1080,18,3/10/2021 1:00,1742,0.47,1.53
1090,18.16666667,3/10/2021 1:10,1741,0.47,1.81
1100,18.33333333,3/10/2021 1:20,1741,0.47,1.73
1110,18.5,3/10/2021 1:30,1741,0.47,1.65
1120,18.66666667,3/10/2021 1:40,1740,0.47,1.69
1130,18.83333333,3/10/2021 1:50,1739,0.46,1.35
1140,19,3/10/2021 2:00,1739,0.46,1.59
1150,19.16666667,3/10/2021 2:10,1739,0.46,1.63
1160,19.33333333,3/10/2021 2:20,1738,0.46,1.42
1170,19.5,3/10/2021 2:30,1738,0.46,1.47
1180,19.66666667,3/10/2021 2:40,1737,0.46,1.62
1190,19.83333333,3/10/2021 2:50,1737,0.46,1.63
1200,20,3/10/2021 3:00,1737,0.45,1.49
1210,20.16666667,3/10/2021 3:10,1736,0.46,1.59
1220,20.33333333,3/10/2021 3:20,1736,0.45,1.66
1230,20.5,3/10/2021 3:30,1735,0.45,1.44
1240,20.66666667,3/10/2021 3:40,1735,0.45,1.37
1250,20.83333333,3/10/2021 3:50,1735,0.45,1.48
1260,21,3/10/2021 4:00,1734,0.45,1.6
1270,21.16666667,3/10/2021 4:10,1734,0.45,1.5
1280,21.33333333,3/10/2021 4:20,1734,0.45,3.58
1290,21.5,3/10/2021 4:30,1729,0.46,1.95
1300,21.66666667,3/10/2021 4:40,1725,0.46,2.03
1310,21.83333333,3/10/2021 4:50,1725,0.46,2.71
1320,22,3/10/2021 5:00,1726,0.46,1.7
1330,22.16666667,3/10/2021 5:10,1726,0.46,1.63
1340,22.33333333,3/10/2021 5:20,1726,0.46,1.61
1350,22.5,3/10/2021 5:30,1726,0.45,1.72
1360,22.66666667,3/10/2021 5:40,1727,0.45,1.47
1370,22.83333333,3/10/2021 5:50,1728,0.46,1.51
1380,23,3/10/2021 6:00,1728,0.46,2.16
1390,23.16666667,3/10/2021 6:10,1728,0.46,1.69
1400,23.33333333,3/10/2021 6:20,1727,0.46,1.96
1410,23.5,3/10/2021 6:30,1728,0.46,1.76
1420,23.66666667,3/10/2021 6:40,1728,0.46,1.75
1430,23.83333333,3/10/2021 6:50,1729,0.46,1.69
1440,24,3/10/2021 7:00,1729,0.46,1.81
1450,24.16666667,3/10/2021 7:10,1729,0.46,1.69
1460,24.33333333,3/10/2021 7:20,1730,0.46,1.74
1470,24.5,3/10/2021 7:30,1731,0.46,1.77
1480,24.66666667,3/10/2021 7:40,1731,0.47,1.77
1490,24.83333333,3/10/2021 7:50,1732,0.47,1.75
1500,25,3/10/2021 8:00,1732,0.47,2.03
1510,25.16666667,3/10/2021 8:10,1733,0.47,1.78
1520,25.33333333,3/10/2021 8:20,1733,0.47,1.85
1530,25.5,3/10/2021 8:30,1733,0.48,3.11
1540,25.66666667,3/10/2021 8:40,1733,0.48,1.8
1550,25.83333333,3/10/2021 8:50,1734,0.48,1.87
1560,26,3/10/2021 9:00,1734,0.48,1.68
1570,26.16666667,3/10/2021 9:10,1735,0.48,1.81
1580,26.33333333,3/10/2021 9:20,1735,0.49,1.81
1590,26.5,3/10/2021 9:30,1736,0.5,1.83
1600,26.66666667,3/10/2021 9:40,1736,0.52,2.83
1610,26.83333333,3/10/2021 9:50,1737,0.54,5
1620,27,3/10/2021 10:00,1737,0.57,4.02
1630,27.16666667,3/10/2021 10:10,1731,0.6,5.29
1640,27.33333333,3/10/2021 10:20,1725,0.63,5.85
1650,27.5,3/10/2021 10:30,1720,0.65,56.74
1660,27.66666667,3/10/2021 10:40,1719,0.68,13.85
1670,27.83333333,3/10/2021 10:50,1723,0.69,8.99
1680,28,3/10/2021 11:00,1727,0.71,14.1
1690,28.16666667,3/10/2021 11:10,1731,0.73,9.03
1700,28.33333333,3/10/2021 11:20,1736,0.73,7.76
1710,28.5,3/10/2021 11:30,1740,0.74,15.66
1720,28.66666667,3/10/2021 11:40,1741,0.75,12.7
1730,28.83333333,3/10/2021 11:50,1736,0.75,686.1
1740,29,3/10/2021 12:00,1723,0.75,11
1750,29.16666667,3/10/2021 12:10,1700,0.76,13.48
1760,29.33333333,3/10/2021 12:20,1666,0.77,19.24
1770,29.5,3/10/2021 12:30,1628,0.79,17.85
1780,29.66666667,3/10/2021 12:40,1585,0.76,35.27
1790,29.83333333,3/10/2021 12:50,1545,0.76,10.23
1800,30,3/10/2021 13:00,1505,0.75,12.1
1810,30.16666667,3/10/2021 13:10,1464,0.76,120.1
1820,30.33333333,3/10/2021 13:20,1422,0.76,147
1830,30.5,3/10/2021 13:30,1383,0.77,9.4
1840,30.66666667,3/10/2021 13:40,1350,0.75,8.51
1850,30.83333333,3/10/2021 13:50,1321,0.77,10.03
1860,31,3/10/2021 14:00,1297,0.74,12.47
1870,31.16666667,3/10/2021 14:10,1274,0.75,8.43
1880,31.33333333,3/10/2021 14:20,1252,0.75,9.18
1890,31.5,3/10/2021 14:30,1234,0.74,7.95
1900,31.66666667,3/10/2021 14:40,1220,0.73,8.38
1910,31.83333333,3/10/2021 14:50,1208,0.73,8.28
1920,32,3/10/2021 15:00,1198,0.74,11.55
1930,32.16666667,3/10/2021 15:10,1189,0.74,8.26
1940,32.33333333,3/10/2021 15:20,1182,0.72,10.46
1950,32.5,3/10/2021 15:30,1174,0.72,8.11
1960,32.66666667,3/10/2021 15:40,1167,0.74,11.37
1970,32.83333333,3/10/2021 15:50,1160,0.72,9.11
1980,33,3/10/2021 16:00,1151,0.71,10.41
1990,33.16666667,3/10/2021 16:10,1141,0.71,8.93
2000,33.33333333,3/10/2021 16:20,1130,0.71,8.87
2010,33.5,3/10/2021 16:30,1122,0.7,11.68
2020,33.66666667,3/10/2021 16:40,1111,0.71,10.31
